Date,Open,High,Low,Close,Adj Close,Volume,stock_name
2010-04-28,22.25,22.25,21.700001,22.0,10.572404,5244400,zerodha
2010-04-29,22.0,23.25,21.9,23.0,11.052967,8773600,zerodha
2010-04-30,22.950001,23.0,22.25,22.299999,10.716572,1644400,zerodha
2010-05-03,22.75,22.950001,22.65,22.799999,10.956854,3302700,zerodha
2010-05-04,22.799999,22.799999,21.5,21.5,10.332122,2276500,zerodha
2010-05-05,22.0,22.0,20.0,20.59,9.894805,6999200,zerodha
2010-05-06,20.5,20.549999,18.450001,19.450001,9.346966,8029400,zerodha
2010-05-07,19.5,19.549999,17.9,18.6,8.938488,3881500,zerodha
2010-05-10,19.75,19.85,18.700001,19.01,9.135515,3861100,zerodha
2010-05-11,18.75,19.280001,18.75,18.9,9.082654,2626900,zerodha
2010-05-12,19.200001,20.040001,19.200001,19.799999,9.515162,5714300,zerodha
2010-05-13,19.85,20.1,19.6,19.65,9.443079,2475900,zerodha
2010-05-14,19.299999,19.4,18.75,18.75,9.010571,3133400,zerodha
2010-05-17,19.0,19.200001,18.700001,18.85,9.058626,10117000,zerodha
2010-05-18,19.049999,19.32,18.25,18.790001,9.029794,6219800,zerodha
2010-05-19,18.9,18.93,17.549999,17.700001,8.505978,6227700,zerodha
2010-05-20,17.139999,17.139999,16.200001,16.9,8.121528,10248400,zerodha
2010-05-21,16.35,17.120001,16.25,16.549999,7.95333,4560800,zerodha
2010-05-24,16.700001,17.15,16.68,16.9,8.121528,1761300,zerodha
2010-05-25,16.790001,16.790001,16.200001,16.57,7.962943,4649600,zerodha
2010-05-26,16.99,17.4,16.799999,17.15,8.241667,2079300,zerodha
2010-05-27,17.65,18.0,17.65,17.9,8.602092,3156100,zerodha
2010-05-28,17.9,17.9,16.25,17.77,8.539619,222200,zerodha
2010-06-01,17.65,17.799999,17.200001,17.5,8.409866,900800,zerodha
2010-06-02,17.610001,17.66,17.219999,17.33,8.32817,829900,zerodha
2010-06-03,17.450001,17.5,17.15,17.33,8.32817,2173600,zerodha
2010-06-04,17.049999,17.1,16.75,17.049999,8.193614,3147200,zerodha
2010-06-07,17.15,17.200001,16.74,16.889999,8.116724,2826800,zerodha
2010-06-08,17.030001,17.030001,16.5,16.75,8.049442,2037700,zerodha
2010-06-09,16.790001,17.1,16.700001,16.790001,8.068666,1410200,zerodha
2010-06-10,16.969999,17.07,16.85,16.969999,8.155168,1401000,zerodha
2010-06-11,16.940001,17.190001,16.940001,17.139999,8.236863,452500,zerodha
2010-06-14,17.190001,17.58,17.190001,17.49,8.40506,1008500,zerodha
2010-06-15,17.48,18.0,17.35,17.969999,8.63573,1974300,zerodha
2010-06-16,17.93,17.969999,17.629999,17.639999,8.477147,1041500,zerodha
2010-06-17,17.68,17.75,17.139999,17.299999,8.31375,1090600,zerodha
2010-06-18,17.33,17.35,17.15,17.209999,8.270501,1373700,zerodha
2010-06-21,17.450001,17.530001,17.09,17.1,8.217642,514100,zerodha
2010-06-22,17.09,17.1,16.799999,16.84,8.092694,1502900,zerodha
2010-06-23,16.9,16.950001,16.6,16.65,8.001388,1125700,zerodha
2010-06-24,16.690001,16.92,16.35,16.799999,8.073472,2151600,zerodha
2010-06-25,16.9,16.92,16.700001,16.82,8.083083,612000,zerodha
2010-06-28,16.870001,16.870001,16.700001,16.870001,8.107113,355800,zerodha
2010-06-29,16.74,16.74,16.25,16.25,7.809163,2561000,zerodha
2010-06-30,16.27,16.5,16.15,16.15,7.761105,1534100,zerodha
2010-07-01,16.24,16.299999,15.4,15.55,7.472767,4006100,zerodha
2010-07-02,15.58,15.69,15.4,15.48,7.43913,231700,zerodha
2010-07-06,15.5,15.59,14.9,15.06,7.23729,833700,zerodha
2010-07-07,15.05,15.15,14.86,15.0,7.208457,2137200,zerodha
2010-07-08,14.95,15.15,14.95,15.05,7.232486,2422200,zerodha
2010-07-09,15.1,16.02,15.0,15.8,7.592908,1478700,zerodha
2010-07-12,15.82,16.02,15.8,15.82,7.602519,786100,zerodha
2010-07-13,15.83,16.5,15.83,16.4,7.881247,1647300,zerodha
2010-07-14,16.4,16.450001,16.25,16.4,7.881247,1537200,zerodha
2010-07-15,16.43,16.43,16.0,16.370001,7.866832,905900,zerodha
2010-07-16,16.299999,16.299999,16.0,16.200001,7.785133,624700,zerodha
2010-07-19,16.18,16.700001,16.110001,16.450001,7.905273,497300,zerodha
2010-07-20,16.440001,16.440001,16.15,16.190001,7.780328,1244700,zerodha
2010-07-21,16.190001,16.299999,16.190001,16.24,7.804356,1801200,zerodha
2010-07-22,16.26,16.59,16.26,16.549999,7.95333,1126300,zerodha
2010-07-23,16.549999,16.790001,16.52,16.780001,8.063861,1415100,zerodha
2010-07-26,17.0,17.700001,17.0,17.65,8.481949,3400400,zerodha
2010-07-27,17.92,18.34,17.25,18.23,8.760679,5778800,zerodha
2010-07-28,18.219999,18.219999,17.82,17.93,8.616509,2440000,zerodha
2010-07-29,18.1,18.15,17.84,17.940001,8.621314,1598500,zerodha
2010-07-30,17.92,18.07,17.68,18.0,8.650148,2023100,zerodha
2010-08-02,18.15,18.26,18.049999,18.059999,8.678982,1543000,zerodha
2010-08-03,18.09,18.120001,17.700001,17.9,8.602092,1558700,zerodha
2010-08-04,17.9,18.459999,17.9,18.299999,8.794318,4194300,zerodha
2010-08-05,18.299999,18.299999,18.200001,18.24,8.765485,252300,zerodha
2010-08-06,18.219999,18.25,17.92,18.0,8.650148,500600,zerodha
2010-08-09,18.0,18.15,17.99,18.049999,8.674177,1252900,zerodha
2010-08-10,18.049999,18.049999,17.9,17.99,8.645343,1056300,zerodha
2010-08-11,17.799999,17.799999,17.6,17.610001,8.462728,2021000,zerodha
2010-08-12,17.629999,17.629999,17.4,17.5,8.409866,3260500,zerodha
2010-08-13,17.51,18.030001,17.51,18.02,8.65976,2973700,zerodha
2010-08-16,18.85,19.299999,18.65,18.700001,8.986541,10729700,zerodha
2010-08-17,18.950001,19.200001,18.950001,19.07,9.164353,4572800,zerodha
2010-08-18,19.1,20.049999,19.1,19.799999,9.515162,3564800,zerodha
2010-08-19,19.889999,20.09,19.0,19.799999,9.515162,5313000,zerodha
2010-08-20,19.799999,20.02,19.76,19.889999,9.558414,3292700,zerodha
2010-08-23,19.9,20.25,19.9,20.059999,9.640109,2222900,zerodha
2010-08-24,19.799999,20.049999,19.700001,19.99,9.606471,5178500,zerodha
2010-08-25,19.940001,20.049999,19.870001,19.93,9.577637,3994300,zerodha
2010-08-26,19.950001,20.5,19.950001,20.0,9.611277,2807100,zerodha
2010-08-27,20.139999,20.440001,19.98,20.440001,9.822724,1984200,zerodha
2010-08-30,20.4,20.799999,20.219999,20.219999,9.716997,1728000,zerodha
2010-08-31,20.219999,20.51,20.219999,20.5,9.851558,2316300,zerodha
2010-09-01,20.5,21.299999,20.49,21.02,10.101453,5464700,zerodha
2010-09-02,21.049999,21.049999,20.76,20.950001,10.067811,1548700,zerodha
2010-09-03,20.99,21.299999,20.99,21.129999,10.15431,1072600,zerodha
2010-09-07,21.120001,21.120001,20.799999,20.959999,10.072617,1540000,zerodha
2010-09-08,20.950001,21.129999,20.950001,20.99,10.087033,2135400,zerodha
2010-09-09,21.0,21.15,20.67,20.700001,9.947669,2958400,zerodha
2010-09-10,20.709999,20.82,20.690001,20.790001,9.990924,806500,zerodha
2010-09-13,20.780001,21.41,20.780001,21.379999,10.274448,3431400,zerodha
2010-09-14,21.389999,21.57,21.309999,21.51,10.336926,2403900,zerodha
2010-09-15,21.51,21.639999,21.450001,21.559999,10.360955,1302100,zerodha
2010-09-16,21.75,22.280001,21.75,21.85,10.500319,4179800,zerodha
2010-09-17,22.190001,22.25,22.01,22.25,10.692544,2845700,zerodha
2010-09-20,22.25,22.27,22.190001,22.200001,10.668515,1651400,zerodha
2010-09-21,22.209999,22.27,22.17,22.209999,10.673323,3081900,zerodha
2010-09-22,22.24,22.280001,21.85,21.940001,10.54357,1636900,zerodha
2010-09-23,21.85,21.950001,21.6,21.85,10.500319,1356500,zerodha
2010-09-24,22.0,22.469999,22.0,22.459999,10.793463,2632000,zerodha
2010-09-27,22.690001,23.110001,22.690001,23.1,11.101019,4341200,zerodha
2010-09-28,23.1,23.639999,23.030001,23.450001,11.269219,2932200,zerodha
2010-09-29,23.379999,23.950001,23.370001,23.620001,11.350918,3805000,zerodha
2010-09-30,23.65,23.950001,23.26,23.9,11.485475,4344600,zerodha
2010-10-01,23.92,24.059999,23.709999,23.870001,11.471052,6646000,zerodha
2010-10-04,24.030001,24.4,23.93,24.09,11.576782,3833700,zerodha
2010-10-05,24.040001,25.0,24.030001,24.790001,11.913177,7091600,zerodha
2010-10-06,24.85,24.879999,23.950001,24.219999,11.639258,1901200,zerodha
2010-10-07,24.26,24.540001,24.190001,24.450001,11.749784,2172800,zerodha
2010-10-08,24.700001,25.280001,24.700001,25.25,12.134235,6419900,zerodha
2010-10-11,25.190001,26.6,25.129999,26.16,12.571543,8024800,zerodha
2010-10-12,26.1,26.35,25.450001,26.299999,12.638828,7003500,zerodha
2010-10-13,26.4,27.120001,26.290001,26.969999,12.960805,12316200,zerodha
2010-10-14,26.969999,27.65,24.450001,27.02,12.984834,9197400,zerodha
2010-10-15,27.1,27.1,26.5,26.5,12.73494,3207600,zerodha
2010-10-18,26.6,27.040001,26.41,26.75,12.85508,4034900,zerodha
2010-10-19,26.99,26.99,26.440001,26.52,12.744552,7782900,zerodha
2010-10-20,26.700001,27.200001,26.65,27.129999,13.037689,6081700,zerodha
2010-10-21,27.190001,28.0,27.1,27.559999,13.244337,6521800,zerodha
2010-10-22,27.6,27.68,27.299999,27.549999,13.239533,2442100,zerodha
2010-10-25,27.84,28.27,27.719999,27.959999,13.436563,3935100,zerodha
2010-10-26,28.07,28.120001,26.5,27.719999,13.321231,5532600,zerodha
2010-10-27,27.83,27.83,26.85,27.209999,13.076138,3619200,zerodha
2010-10-28,27.379999,27.790001,26.99,27.51,13.220312,3821600,zerodha
2010-10-29,27.85,28.25,26.6,26.860001,12.907943,7190600,zerodha
2010-11-01,26.76,27.16,25.700001,26.0,12.494659,4165000,zerodha
2010-11-02,26.299999,26.790001,26.18,26.629999,12.797413,3387900,zerodha
2010-11-03,26.91,27.469999,26.35,26.950001,12.951193,3338400,zerodha
